Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,4,0,0
1/27/20,5,0,0
1/28/20,5,0,0
1/29/20,6,0,0
1/30/20,9,0,2
1/31/20,9,0,2
2/1/20,12,0,2
2/2/20,12,0,2
2/3/20,12,0,2
2/4/20,13,0,2
2/5/20,13,0,2
2/6/20,14,0,2
2/7/20,15,0,2
2/8/20,15,0,2
2/9/20,15,0,2
2/10/20,15,0,2
2/11/20,15,0,2
2/12/20,15,0,2
2/13/20,15,0,8
2/14/20,15,0,8
2/15/20,15,0,8
2/16/20,15,0,8
2/17/20,15,0,10
2/18/20,15,0,10
2/19/20,15,0,10
2/20/20,15,0,10
2/21/20,19,0,11
2/22/20,22,0,11
2/23/20,22,0,11
2/24/20,22,0,11
2/25/20,22,0,11
2/26/20,22,0,11
2/27/20,23,0,11
2/28/20,23,0,11
2/29/20,25,0,11
3/1/20,27,1,11
3/2/20,30,1,11
3/3/20,39,1,11
3/4/20,52,2,11
3/5/20,55,2,21
3/6/20,60,2,21
3/7/20,63,2,21
3/8/20,76,3,21
3/9/20,91,3,21
3/10/20,107,3,21
3/11/20,128,3,21
3/12/20,128,3,21
3/13/20,200,3,23
3/14/20,250,3,23
3/15/20,297,3,23
3/16/20,377,3,23
3/17/20,452,5,23
3/18/20,568,6,23
3/19/20,681,6,26
3/20/20,791,7,26
3/21/20,1071,7,26
3/22/20,1314,7,88
3/23/20,1314.0,7.0,88.0
