Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,3,0,0
1/27/20,4,0,0
1/28/20,4,0,0
1/29/20,4,0,0
1/30/20,4,0,2
1/31/20,4,0,2
2/1/20,4,0,2
2/2/20,4,0,2
2/3/20,4,0,2
2/4/20,4,0,2
2/5/20,4,0,2
2/6/20,4,0,2
2/7/20,4,0,2
2/8/20,4,0,2
2/9/20,4,0,2
2/10/20,4,0,2
2/11/20,4,0,2
2/12/20,4,0,2
2/13/20,4,0,4
2/14/20,4,0,4
2/15/20,4,0,4
2/16/20,4,0,4
2/17/20,4,0,4
2/18/20,4,0,4
2/19/20,4,0,4
2/20/20,4,0,4
2/21/20,4,0,4
2/22/20,4,0,4
2/23/20,4,0,4
2/24/20,4,0,4
2/25/20,4,0,4
2/26/20,4,0,4
2/27/20,4,0,4
2/28/20,4,0,4
2/29/20,4,0,4
3/1/20,6,0,4
3/2/20,6,0,4
3/3/20,13,0,4
3/4/20,22,1,4
3/5/20,22,1,4
3/6/20,26,1,4
3/7/20,28,1,4
3/8/20,38,2,4
3/9/20,48,2,4
3/10/20,55,2,4
3/11/20,65,2,4
3/12/20,65,2,4
3/13/20,92,2,4
3/14/20,112,2,4
3/15/20,134,2,4
3/16/20,171,2,4
3/17/20,210,4,4
3/18/20,267,5,4
3/19/20,307,5,4
3/20/20,353,6,4
3/21/20,436,6,4
3/22/20,533,6,4
3/23/20,533.0,6.0,4.0
