Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,1,0,0
2/2/20,2,0,0
2/3/20,2,0,0
2/4/20,2,0,0
2/5/20,2,0,0
2/6/20,2,0,0
2/7/20,2,0,0
2/8/20,2,0,0
2/9/20,2,0,0
2/10/20,2,0,0
2/11/20,2,0,0
2/12/20,2,0,0
2/13/20,2,0,0
2/14/20,2,0,0
2/15/20,2,0,0
2/16/20,2,0,0
2/17/20,2,0,2
2/18/20,2,0,2
2/19/20,2,0,2
2/20/20,2,0,2
2/21/20,2,0,2
2/22/20,2,0,2
2/23/20,2,0,2
2/24/20,2,0,2
2/25/20,2,0,2
2/26/20,2,0,2
2/27/20,2,0,2
2/28/20,2,0,2
2/29/20,3,0,2
3/1/20,3,0,2
3/2/20,3,0,2
3/3/20,3,0,2
3/4/20,5,0,2
3/5/20,5,0,2
3/6/20,7,0,2
3/7/20,7,0,2
3/8/20,7,0,2
3/9/20,7,0,2
3/10/20,7,0,2
3/11/20,9,0,2
3/12/20,9,0,2
3/13/20,16,0,3
3/14/20,19,0,3
3/15/20,20,0,3
3/16/20,29,0,3
3/17/20,29,0,3
3/18/20,37,0,3
3/19/20,42,0,3
3/20/20,50,0,3
3/21/20,67,0,3
3/22/20,100,0,3
3/23/20,100.0,0.0,3.0
