Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,1,0,0
1/27/20,1,0,0
1/28/20,1,0,0
1/29/20,1,0,0
1/30/20,2,0,0
1/31/20,3,0,0
2/1/20,4,0,0
2/2/20,4,0,0
2/3/20,4,0,0
2/4/20,4,0,0
2/5/20,4,0,0
2/6/20,4,0,0
2/7/20,4,0,0
2/8/20,4,0,0
2/9/20,4,0,0
2/10/20,4,0,0
2/11/20,4,0,0
2/12/20,4,0,0
2/13/20,4,0,4
2/14/20,4,0,4
2/15/20,4,0,4
2/16/20,4,0,4
2/17/20,4,0,4
2/18/20,4,0,4
2/19/20,4,0,4
2/20/20,4,0,4
2/21/20,4,0,4
2/22/20,4,0,4
2/23/20,4,0,4
2/24/20,4,0,4
2/25/20,4,0,4
2/26/20,4,0,4
2/27/20,4,0,4
2/28/20,4,0,4
2/29/20,7,0,4
3/1/20,7,0,4
3/2/20,9,0,4
3/3/20,9,0,4
3/4/20,10,0,4
3/5/20,10,0,7
3/6/20,10,0,7
3/7/20,11,0,7
3/8/20,11,0,7
3/9/20,15,0,7
3/10/20,18,0,7
3/11/20,21,0,7
3/12/20,21,0,7
3/13/20,36,0,8
3/14/20,49,0,8
3/15/20,57,0,8
3/16/20,71,0,8
3/17/20,94,0,8
3/18/20,121,0,8
3/19/20,121,0,8
3/20/20,121,0,8
3/21/20,229,0,8
3/22/20,296,0,70
3/23/20,296.0,0.0,70.0
