Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,1,0,0
2/25/20,23,0,0
2/26/20,33,0,0
2/27/20,33,0,0
2/28/20,36,0,0
2/29/20,41,0,0
3/1/20,47,0,0
3/2/20,49,0,0
3/3/20,49,0,0
3/4/20,52,0,0
3/5/20,55,0,0
3/6/20,60,0,4
3/7/20,85,0,4
3/8/20,85,0,4
3/9/20,95,0,14
3/10/20,110,0,22
3/11/20,195,0,35
3/12/20,195,0,35
3/13/20,189,0,44
3/14/20,210,0,44
3/15/20,214,0,60
3/16/20,214,1,77
3/17/20,228,1,81
3/18/20,256,1,88
3/19/20,278,1,100
3/20/20,285,1,100
3/21/20,305,1,125
3/22/20,332,2,149
3/23/20,332.0,2.0,149.0
