Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,1,0,0
1/29/20,1,0,0
1/30/20,1,0,0
1/31/20,1,0,0
2/1/20,1,0,0
2/2/20,1,0,0
2/3/20,1,0,0
2/4/20,1,0,0
2/5/20,2,0,0
2/6/20,2,0,0
2/7/20,4,0,0
2/8/20,4,0,0
2/9/20,4,0,0
2/10/20,4,0,0
2/11/20,4,0,0
2/12/20,4,0,0
2/13/20,4,0,0
2/14/20,4,0,0
2/15/20,4,0,0
2/16/20,4,0,0
2/17/20,5,0,0
2/18/20,5,0,0
2/19/20,5,0,0
2/20/20,5,0,0
2/21/20,6,0,0
2/22/20,6,0,0
2/23/20,6,0,0
2/24/20,6,0,0
2/25/20,7,0,0
2/26/20,7,0,0
2/27/20,7,0,3
2/28/20,7,0,3
2/29/20,8,0,3
3/1/20,8,0,3
3/2/20,8,0,3
3/3/20,9,0,3
3/4/20,12,0,3
3/5/20,13,0,3
3/6/20,21,0,3
3/7/20,21,0,4
3/8/20,27,0,4
3/9/20,32,1,4
3/10/20,32,1,4
3/11/20,39,1,4
3/12/20,46,1,4
3/13/20,64,1,4
3/14/20,64,1,4
3/15/20,73,1,4
3/16/20,103,4,4
3/17/20,103,4,4
3/18/20,186,7,4
3/19/20,231,7,4
3/20/20,271,8,4
3/21/20,424,10,4
3/22/20,424,10,4
3/23/20,424.0,10.0,4.0
