Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,1,0,0
1/27/20,1,0,0
1/28/20,1,0,0
1/29/20,1,0,0
1/30/20,1,0,0
1/31/20,3,0,0
2/1/20,3,0,0
2/2/20,3,0,0
2/3/20,3,0,0
2/4/20,3,0,0
2/5/20,3,0,0
2/6/20,3,0,0
2/7/20,3,0,0
2/8/20,3,0,0
2/9/20,3,0,0
2/10/20,3,0,0
2/11/20,3,0,0
2/12/20,3,0,1
2/13/20,3,0,1
2/14/20,3,0,1
2/15/20,3,0,1
2/16/20,3,0,1
2/17/20,3,0,1
2/18/20,3,0,1
2/19/20,3,0,1
2/20/20,3,0,1
2/21/20,3,0,3
2/22/20,3,0,3
2/23/20,3,0,3
2/24/20,4,0,3
2/25/20,4,0,3
2/26/20,4,0,3
2/27/20,6,0,3
2/28/20,6,0,3
2/29/20,11,0,3
3/1/20,15,0,3
3/2/20,18,0,3
3/3/20,20,0,3
3/4/20,20,0,3
3/5/20,22,0,3
3/6/20,25,0,3
3/7/20,28,0,4
3/8/20,29,0,4
3/9/20,34,0,4
3/10/20,36,0,4
3/11/20,41,0,4
3/12/20,42,0,4
3/13/20,74,0,4
3/14/20,79,0,4
3/15/20,104,0,4
3/16/20,177,0,5
3/17/20,185,1,5
3/18/20,221,1,5
3/19/20,257,1,5
3/20/20,308,2,5
3/21/20,377,3,6
3/22/20,425,5,6
3/23/20,425.0,5.0,6.0
