Date,Confirmed,Deaths,Recovered
1/22/20,548,17,28
1/23/20,643,18,30
1/24/20,920,26,36
1/25/20,1406,42,39
1/26/20,2075,56,49
1/27/20,2877,82,58
1/28/20,5509,131,101
1/29/20,6087,133,120
1/30/20,8141,171,135
1/31/20,9802,213,214
2/1/20,11891,259,275
2/2/20,16630,361,463
2/3/20,19716,425,614
2/4/20,23707,491,843
2/5/20,27440,563,1115
2/6/20,30587,633,1477
2/7/20,34110,718,1999
2/8/20,36814,805,2596
2/9/20,39829,905,3219
2/10/20,42354,1012,3918
2/11/20,44386,1112,4636
2/12/20,44759,1117,5082
2/13/20,59895,1369,6217
2/14/20,66358,1521,7977
2/15/20,68413,1663,9298
2/16/20,70513,1766,10755
2/17/20,72434,1864,12462
2/18/20,74211,2003,14206
2/19/20,74619,2116,15962
2/20/20,75077,2238,18014
2/21/20,75550,2238,18704
2/22/20,77001,2443,22699
2/23/20,77022,2445,23187
2/24/20,77241,2595,25015
2/25/20,77754,2665,27676
2/26/20,78166,2717,30084
2/27/20,78600,2746,32930
2/28/20,78928,2790,36329
2/29/20,79356,2837,39320
3/1/20,79932,2872,42162
3/2/20,80136,2914,44854
3/3/20,80261,2947,47450
3/4/20,80386,2983,50001
3/5/20,80537,3015,52292
3/6/20,80690,3044,53944
3/7/20,80770,3072,55539
3/8/20,80823,3100,57388
3/9/20,80860,3123,58804
3/10/20,80887,3139,60181
3/11/20,80921,3161,61644
3/12/20,80932,3172,62901
3/13/20,80945,3180,64196
3/14/20,80977,3193,65660
3/15/20,81003,3203,67017
3/16/20,81033,3217,67910
3/17/20,81058,3230,68798
3/18/20,81102,3241,69755
3/19/20,81156,3249,70535
3/20/20,81250,3253,71266
3/21/20,81305,3259,71857
3/22/20,81397,3265,72362
3/23/20,81439.0,3274.0,72814.0
