Date,Confirmed,Deaths,Recovered
1/22/20,14,0,0
1/23/20,22,0,0
1/24/20,36,0,1
1/25/20,41,0,2
1/26/20,68,0,2
1/27/20,80,1,2
1/28/20,91,1,4
1/29/20,111,1,4
1/30/20,114,1,4
1/31/20,139,1,5
2/1/20,168,1,9
2/2/20,191,1,9
2/3/20,212,1,12
2/4/20,228,1,23
2/5/20,253,1,24
2/6/20,274,1,31
2/7/20,297,1,33
2/8/20,315,2,34
2/9/20,326,2,37
2/10/20,337,2,44
2/11/20,342,3,48
2/12/20,352,3,56
2/13/20,366,3,69
2/14/20,372,3,80
2/15/20,375,4,98
2/16/20,380,4,108
2/17/20,381,4,114
2/18/20,387,4,122
2/19/20,393,4,145
2/20/20,395,4,153
2/21/20,396,4,169
2/22/20,399,4,178
2/23/20,399,4,189
2/24/20,399,4,198
2/25/20,400,4,215
2/26/20,400,4,235
2/27/20,410,5,248
2/28/20,410,7,257
2/29/20,411,8,271
3/1/20,413,8,276
3/2/20,414,8,282
3/3/20,414,8,288
3/4/20,418,8,297
3/5/20,418,8,297
3/6/20,422,8,299
3/7/20,426,8,303
3/8/20,428,8,308
3/9/20,428,8,315
3/10/20,429,8,320
3/11/20,435,8,326
3/12/20,435,8,334
3/13/20,436,8,342
3/14/20,437,8,349
3/15/20,442,8,353
3/16/20,452,8,360
3/17/20,456,8,369
3/18/20,469,8,378
3/19/20,480,8,380
3/20/20,491,8,390
3/21/20,504,8,396
3/22/20,514,8,400
3/23/20,522.0,8.0,400.0
