Date,Confirmed,Deaths,Recovered
1/22/20,6,0,0
1/23/20,9,0,0
1/24/20,27,0,0
1/25/20,57,0,0
1/26/20,75,0,0
1/27/20,110,0,0
1/28/20,132,0,0
1/29/20,147,0,1
1/30/20,182,0,1
1/31/20,211,0,1
2/1/20,247,1,3
2/2/20,300,2,7
2/3/20,337,2,9
2/4/20,366,2,9
2/5/20,389,2,15
2/6/20,411,2,24
2/7/20,426,2,31
2/8/20,428,2,39
2/9/20,468,2,51
2/10/20,486,2,66
2/11/20,505,3,79
2/12/20,518,3,102
2/13/20,529,4,128
2/14/20,537,5,152
2/15/20,544,5,184
2/16/20,551,5,207
2/17/20,553,5,225
2/18/20,555,5,254
2/19/20,560,5,274
2/20/20,567,6,299
2/21/20,572,6,316
2/22/20,573,6,328
2/23/20,575,6,335
2/24/20,576,6,349
2/25/20,576,6,372
2/26/20,576,6,384
2/27/20,576,6,401
2/28/20,576,6,422
2/29/20,576,6,438
3/1/20,576,6,450
3/2/20,576,6,469
3/3/20,576,6,490
3/4/20,576,6,502
3/5/20,576,6,512
3/6/20,576,6,513
3/7/20,576,6,526
3/8/20,576,6,527
3/9/20,576,6,542
3/10/20,576,6,547
3/11/20,576,6,554
3/12/20,576,6,564
3/13/20,576,6,566
3/14/20,576,6,569
3/15/20,576,6,570
3/16/20,576,6,570
3/17/20,576,6,570
3/18/20,576,6,570
3/19/20,576,6,570
3/20/20,576,6,570
3/21/20,576,6,570
3/22/20,577,6,570
3/23/20,577.0,6.0,570.0
