Date,Confirmed,Deaths,Recovered
1/22/20,1,0,0
1/23/20,5,0,0
1/24/20,10,0,0
1/25/20,18,0,0
1/26/20,35,0,0
1/27/20,59,0,0
1/28/20,80,0,0
1/29/20,84,0,0
1/30/20,101,0,0
1/31/20,120,0,0
2/1/20,144,0,0
2/2/20,159,0,0
2/3/20,179,0,1
2/4/20,194,0,3
2/5/20,205,0,11
2/6/20,215,0,14
2/7/20,224,0,20
2/8/20,239,0,24
2/9/20,250,0,35
2/10/20,261,0,39
2/11/20,267,0,45
2/12/20,272,0,53
2/13/20,279,0,57
2/14/20,281,0,63
2/15/20,285,0,71
2/16/20,287,0,82
2/17/20,290,0,90
2/18/20,292,0,93
2/19/20,293,0,112
2/20/20,293,1,126
2/21/20,293,1,149
2/22/20,293,1,162
2/23/20,293,1,170
2/24/20,293,1,183
2/25/20,294,1,199
2/26/20,294,1,218
2/27/20,296,1,228
2/28/20,296,1,235
2/29/20,296,1,243
3/1/20,296,1,247
3/2/20,296,1,255
3/3/20,296,1,260
3/4/20,296,1,270
3/5/20,296,1,277
3/6/20,296,1,284
3/7/20,296,1,295
3/8/20,296,1,295
3/9/20,296,1,295
3/10/20,296,1,295
3/11/20,296,1,295
3/12/20,296,1,295
3/13/20,296,1,295
3/14/20,296,1,295
3/15/20,296,1,295
3/16/20,296,1,295
3/17/20,296,1,295
3/18/20,296,1,295
3/19/20,296,1,295
3/20/20,299,1,295
3/21/20,303,1,295
3/22/20,307,1,295
3/23/20,313.0,1.0,295.0
