Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,2,0,0
1/24/20,2,0,0
1/25/20,4,0,0
1/26/20,7,0,0
1/27/20,14,0,0
1/28/20,19,0,0
1/29/20,24,0,0
1/30/20,26,0,0
1/31/20,29,0,0
2/1/20,40,0,0
2/2/20,51,0,3
2/3/20,55,0,3
2/4/20,57,0,4
2/5/20,62,0,6
2/6/20,62,0,6
2/7/20,67,0,9
2/8/20,79,1,12
2/9/20,83,2,16
2/10/20,83,2,17
2/11/20,86,2,24
2/12/20,87,2,31
2/13/20,90,2,39
2/14/20,90,2,39
2/15/20,90,2,49
2/16/20,90,2,54
2/17/20,91,2,58
2/18/20,91,2,62
2/19/20,91,2,65
2/20/20,91,2,71
2/21/20,91,2,76
2/22/20,91,2,76
2/23/20,91,2,78
2/24/20,91,2,80
2/25/20,91,2,80
2/26/20,91,2,81
2/27/20,91,2,81
2/28/20,91,2,82
2/29/20,91,2,82
3/1/20,91,2,84
3/2/20,91,2,85
3/3/20,91,2,86
3/4/20,91,2,87
3/5/20,102,2,87
3/6/20,119,2,87
3/7/20,120,2,87
3/8/20,124,2,87
3/9/20,124,2,88
3/10/20,125,2,88
3/11/20,127,2,88
3/12/20,127,2,88
3/13/20,127,2,88
3/14/20,129,2,89
3/15/20,133,2,91
3/16/20,133,2,91
3/17/20,133,2,91
3/18/20,133,2,91
3/19/20,134,2,91
3/20/20,134,2,98
3/21/20,134,2,113
3/22/20,136,2,114
3/23/20,136.0,2.0,114.0
