Date,Confirmed,Deaths,Recovered
1/22/20,26,0,0
1/23/20,32,0,2
1/24/20,53,0,2
1/25/20,78,0,2
1/26/20,111,0,2
1/27/20,151,0,4
1/28/20,207,0,4
1/29/20,277,0,5
1/30/20,354,0,10
1/31/20,436,0,11
2/1/20,535,0,14
2/2/20,632,0,15
2/3/20,725,0,21
2/4/20,813,0,30
2/5/20,895,0,49
2/6/20,970,0,69
2/7/20,1034,1,88
2/8/20,1095,1,112
2/9/20,1131,1,141
2/10/20,1159,1,167
2/11/20,1177,1,212
2/12/20,1219,1,275
2/13/20,1241,2,314
2/14/20,1261,2,362
2/15/20,1294,2,410
2/16/20,1316,2,465
2/17/20,1322,4,524
2/18/20,1328,4,565
2/19/20,1331,5,606
2/20/20,1332,5,642
2/21/20,1333,5,690
2/22/20,1339,5,728
2/23/20,1342,6,755
2/24/20,1345,6,786
2/25/20,1347,7,822
2/26/20,1347,7,851
2/27/20,1347,7,890
2/28/20,1348,7,935
2/29/20,1349,7,983
3/1/20,1349,7,1016
3/2/20,1350,7,1059
3/3/20,1350,7,1101
3/4/20,1350,7,1133
3/5/20,1351,7,1181
3/6/20,1352,7,1216
3/7/20,1352,7,1237
3/8/20,1352,7,1256
3/9/20,1352,8,1260
3/10/20,1353,8,1274
3/11/20,1356,8,1282
3/12/20,1356,8,1289
3/13/20,1356,8,1296
3/14/20,1356,8,1299
3/15/20,1360,8,1304
3/16/20,1361,8,1306
3/17/20,1364,8,1307
3/18/20,1370,8,1313
3/19/20,1378,8,1318
3/20/20,1395,8,1323
3/21/20,1400,8,1325
3/22/20,1407,8,1329
3/23/20,1413.0,8.0,1332.0
