Date,Confirmed,Deaths,Recovered
1/22/20,1,0,0
1/23/20,1,1,0
1/24/20,2,1,0
1/25/20,8,1,0
1/26/20,13,1,0
1/27/20,18,1,0
1/28/20,33,1,0
1/29/20,48,1,0
1/30/20,65,1,0
1/31/20,82,1,0
2/1/20,96,1,0
2/2/20,104,1,3
2/3/20,113,1,3
2/4/20,126,1,4
2/5/20,135,1,6
2/6/20,157,1,13
2/7/20,172,1,22
2/8/20,195,1,30
2/9/20,206,2,34
2/10/20,218,2,41
2/11/20,239,2,48
2/12/20,251,2,54
2/13/20,265,3,68
2/14/20,283,3,87
2/15/20,291,3,101
2/16/20,300,3,105
2/17/20,301,3,122
2/18/20,306,4,136
2/19/20,306,4,152
2/20/20,307,5,169
2/21/20,308,5,184
2/22/20,309,6,203
2/23/20,311,6,219
2/24/20,311,6,234
2/25/20,311,6,248
2/26/20,312,6,261
2/27/20,317,6,274
2/28/20,318,6,277
2/29/20,318,6,282
3/1/20,318,6,294
3/2/20,318,6,296
3/3/20,318,6,300
3/4/20,318,6,301
3/5/20,318,6,304
3/6/20,318,6,305
3/7/20,318,6,307
3/8/20,318,6,307
3/9/20,318,6,307
3/10/20,318,6,307
3/11/20,318,6,307
3/12/20,318,6,308
3/13/20,318,6,310
3/14/20,318,6,310
3/15/20,318,6,310
3/16/20,318,6,310
3/17/20,318,6,310
3/18/20,318,6,310
3/19/20,318,6,310
3/20/20,318,6,310
3/21/20,318,6,310
3/22/20,319,6,310
3/23/20,319.0,6.0,310.0
