Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,2,0,0
1/24/20,4,1,0
1/25/20,9,1,0
1/26/20,15,1,0
1/27/20,21,1,0
1/28/20,33,1,0
1/29/20,38,1,0
1/30/20,44,2,0
1/31/20,59,2,0
2/1/20,80,2,2
2/2/20,95,2,2
2/3/20,121,2,2
2/4/20,155,2,4
2/5/20,190,2,7
2/6/20,227,3,8
2/7/20,277,3,12
2/8/20,295,5,13
2/9/20,307,6,14
2/10/20,331,7,30
2/11/20,360,8,28
2/12/20,378,8,31
2/13/20,395,9,33
2/14/20,419,11,47
2/15/20,425,11,68
2/16/20,445,11,79
2/17/20,457,11,85
2/18/20,464,11,111
2/19/20,470,12,120
2/20/20,476,12,136
2/21/20,479,12,175
2/22/20,479,12,204
2/23/20,480,12,222
2/24/20,480,12,227
2/25/20,480,12,243
2/26/20,480,12,249
2/27/20,480,13,270
2/28/20,480,13,283
2/29/20,480,13,301
3/1/20,480,13,342
3/2/20,480,13,356
3/3/20,480,13,366
3/4/20,480,13,373
3/5/20,481,13,379
3/6/20,481,13,396
3/7/20,481,13,403
3/8/20,481,13,412
3/9/20,481,13,430
3/10/20,481,13,434
3/11/20,482,13,436
3/12/20,482,13,441
3/13/20,482,13,446
3/14/20,482,13,447
3/15/20,482,13,453
3/16/20,482,13,455
3/17/20,482,13,456
3/18/20,482,13,459
3/19/20,483,13,460
3/20/20,484,13,463
3/21/20,484,13,463
3/22/20,484,13,466
3/23/20,484.0,13.0,465.0
