Date,Confirmed,Deaths,Recovered
1/22/20,5,0,0
1/23/20,5,0,0
1/24/20,9,0,0
1/25/20,32,0,0
1/26/20,83,1,0
1/27/20,128,1,0
1/28/20,168,1,0
1/29/20,206,2,1
1/30/20,278,2,2
1/31/20,352,2,3
2/1/20,422,2,3
2/2/20,493,2,10
2/3/20,566,2,16
2/4/20,675,2,27
2/5/20,764,2,47
2/6/20,851,2,56
2/7/20,914,3,86
2/8/20,981,4,116
2/9/20,1033,6,153
2/10/20,1073,6,191
2/11/20,1105,7,218
2/12/20,1135,8,246
2/13/20,1169,10,296
2/14/20,1184,11,357
2/15/20,1212,13,391
2/16/20,1231,13,440
2/17/20,1246,16,509
2/18/20,1257,19,522
2/19/20,1262,19,573
2/20/20,1265,19,637
2/21/20,1267,19,736
2/22/20,1270,19,830
2/23/20,1271,19,868
2/24/20,1271,19,943
2/25/20,1271,19,1002
2/26/20,1271,19,1033
2/27/20,1272,20,1068
2/28/20,1272,20,1112
2/29/20,1272,21,1170
3/1/20,1272,22,1198
3/2/20,1272,22,1205
3/3/20,1272,22,1231
3/4/20,1272,22,1234
3/5/20,1272,22,1239
3/6/20,1272,22,1244
3/7/20,1272,22,1244
3/8/20,1272,22,1247
3/9/20,1272,22,1247
3/10/20,1272,22,1247
3/11/20,1273,22,1249
3/12/20,1273,22,1249
3/13/20,1273,22,1249
3/14/20,1273,22,1250
3/15/20,1273,22,1250
3/16/20,1273,22,1250
3/17/20,1273,22,1250
3/18/20,1273,22,1250
3/19/20,1273,22,1250
3/20/20,1273,22,1250
3/21/20,1273,22,1250
3/22/20,1273,22,1250
3/23/20,1274.0,22.0,1250.0
