Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,2,0,0
1/24/20,2,0,0
1/25/20,5,0,0
1/26/20,8,0,0
1/27/20,8,0,0
1/28/20,8,0,0
1/29/20,10,0,0
1/30/20,10,0,0
1/31/20,12,0,0
2/1/20,13,0,0
2/2/20,15,0,0
2/3/20,15,0,0
2/4/20,17,1,0
2/5/20,21,1,0
2/6/20,24,1,0
2/7/20,25,1,0
2/8/20,26,1,0
2/9/20,29,1,0
2/10/20,38,1,0
2/11/20,49,1,0
2/12/20,50,1,1
2/13/20,53,1,1
2/14/20,56,1,1
2/15/20,56,1,1
2/16/20,57,1,2
2/17/20,60,1,2
2/18/20,62,1,2
2/19/20,63,2,5
2/20/20,68,2,6
2/21/20,68,2,5
2/22/20,69,2,6
2/23/20,74,2,11
2/24/20,79,2,19
2/25/20,84,2,19
2/26/20,91,2,24
2/27/20,92,2,24
2/28/20,94,2,30
2/29/20,95,2,33
3/1/20,96,2,36
3/2/20,100,2,36
3/3/20,100,2,37
3/4/20,105,2,37
3/5/20,105,2,43
3/6/20,107,2,46
3/7/20,108,2,51
3/8/20,114,3,58
3/9/20,115,3,59
3/10/20,120,3,65
3/11/20,126,3,65
3/12/20,129,3,67
3/13/20,134,4,77
3/14/20,140,4,78
3/15/20,145,4,81
3/16/20,155,4,84
3/17/20,162,4,88
3/18/20,181,4,92
3/19/20,208,4,95
3/20/20,256,4,98
3/21/20,273,4,98
3/22/20,317,4,100
3/23/20,317.0,4.0,100.0
