Date,Confirmed,Deaths,Recovered
1/22/20,4,0,0
1/23/20,9,0,0
1/24/20,24,0,0
1/25/20,43,0,0
1/26/20,69,0,0
1/27/20,100,0,0
1/28/20,143,0,0
1/29/20,221,0,0
1/30/20,277,0,2
1/31/20,332,0,2
2/1/20,389,0,8
2/2/20,463,0,16
2/3/20,521,0,22
2/4/20,593,0,31
2/5/20,661,0,54
2/6/20,711,0,81
2/7/20,772,0,112
2/8/20,803,1,156
2/9/20,838,1,186
2/10/20,879,1,208
2/11/20,912,1,247
2/12/20,946,2,304
2/13/20,968,2,339
2/14/20,988,2,364
2/15/20,1001,2,425
2/16/20,1004,3,464
2/17/20,1006,3,498
2/18/20,1007,4,527
2/19/20,1008,4,561
2/20/20,1010,4,634
2/21/20,1011,4,661
2/22/20,1013,4,692
2/23/20,1016,4,714
2/24/20,1016,4,731
2/25/20,1016,4,768
2/26/20,1016,4,783
2/27/20,1017,4,804
2/28/20,1017,4,830
2/29/20,1018,4,846
3/1/20,1018,4,866
3/2/20,1018,4,887
3/3/20,1018,4,906
3/4/20,1018,4,916
3/5/20,1018,4,938
3/6/20,1018,4,955
3/7/20,1018,4,960
3/8/20,1018,4,968
3/9/20,1018,4,979
3/10/20,1018,4,990
3/11/20,1018,4,995
3/12/20,1018,4,999
3/13/20,1018,4,1005
3/14/20,1018,4,1014
3/15/20,1018,4,1014
3/16/20,1018,4,1014
3/17/20,1018,4,1014
3/18/20,1018,4,1014
3/19/20,1018,4,1014
3/20/20,1018,4,1014
3/21/20,1018,4,1014
3/22/20,1018,4,1014
3/23/20,1018.0,4.0,1014.0
