Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,1,0,0
1/25/20,7,0,0
1/26/20,7,0,0
1/27/20,11,0,0
1/28/20,15,0,0
1/29/20,16,0,0
1/30/20,19,0,0
1/31/20,20,0,1
2/1/20,23,0,1
2/2/20,27,0,1
2/3/20,34,0,1
2/4/20,35,0,1
2/5/20,42,0,3
2/6/20,46,0,4
2/7/20,50,0,5
2/8/20,52,0,5
2/9/20,54,0,5
2/10/20,58,0,5
2/11/20,58,0,5
2/12/20,60,0,6
2/13/20,61,0,6
2/14/20,65,0,6
2/15/20,68,0,7
2/16/20,70,0,8
2/17/20,72,0,8
2/18/20,73,0,8
2/19/20,75,0,10
2/20/20,75,0,16
2/21/20,75,0,17
2/22/20,75,0,26
2/23/20,75,0,27
2/24/20,75,0,34
2/25/20,75,0,35
2/26/20,75,0,38
2/27/20,75,0,43
2/28/20,75,0,45
2/29/20,75,0,49
3/1/20,75,0,52
3/2/20,75,0,54
3/3/20,75,1,59
3/4/20,75,1,63
3/5/20,75,1,65
3/6/20,75,1,65
3/7/20,75,1,67
3/8/20,75,1,70
3/9/20,75,1,70
3/10/20,75,1,70
3/11/20,75,1,71
3/12/20,75,1,71
3/13/20,75,1,71
3/14/20,75,1,71
3/15/20,75,1,71
3/16/20,75,1,73
3/17/20,75,1,73
3/18/20,75,1,73
3/19/20,75,1,74
3/20/20,75,1,74
3/21/20,75,1,74
3/22/20,75,1,74
3/23/20,75.0,1.0,74.0
