Date,Confirmed,Deaths,Recovered
1/22/20,1,0,0
1/23/20,5,0,0
1/24/20,9,0,0
1/25/20,18,0,1
1/26/20,33,0,1
1/27/20,47,0,1
1/28/20,70,0,1
1/29/20,99,0,1
1/30/20,129,0,1
1/31/20,168,0,5
2/1/20,202,0,6
2/2/20,236,0,7
2/3/20,271,0,8
2/4/20,308,0,12
2/5/20,341,0,23
2/6/20,373,0,34
2/7/20,408,0,43
2/8/20,439,0,51
2/9/20,468,0,71
2/10/20,492,0,81
2/11/20,515,0,93
2/12/20,543,0,125
2/13/20,570,0,139
2/14/20,593,0,157
2/15/20,604,0,186
2/16/20,617,0,218
2/17/20,626,0,258
2/18/20,629,0,280
2/19/20,631,0,318
2/20/20,631,0,356
2/21/20,631,0,373
2/22/20,631,0,401
2/23/20,631,0,418
2/24/20,631,0,452
2/25/20,631,0,458
2/26/20,631,0,478
2/27/20,631,0,498
2/28/20,631,0,515
2/29/20,631,0,523
3/1/20,631,0,536
3/2/20,631,0,543
3/3/20,631,0,562
3/4/20,631,0,577
3/5/20,631,0,583
3/6/20,631,0,594
3/7/20,631,0,606
3/8/20,631,0,612
3/9/20,631,0,621
3/10/20,631,0,627
3/11/20,631,0,627
3/12/20,631,0,629
3/13/20,631,0,630
3/14/20,631,0,630
3/15/20,631,0,631
3/16/20,631,0,631
3/17/20,631,0,631
3/18/20,631,0,631
3/19/20,631,0,631
3/20/20,631,0,631
3/21/20,631,0,631
3/22/20,633,0,631
3/23/20,633.0,0.0,631.0
