Date,Confirmed,Deaths,Recovered
1/22/20,2,0,0
1/23/20,7,0,0
1/24/20,18,0,0
1/25/20,18,0,0
1/26/20,36,0,0
1/27/20,72,0,2
1/28/20,109,0,3
1/29/20,109,0,3
1/30/20,162,0,5
1/31/20,240,0,7
2/1/20,286,0,9
2/2/20,333,0,12
2/3/20,391,0,18
2/4/20,476,0,20
2/5/20,548,0,27
2/6/20,600,0,37
2/7/20,661,0,45
2/8/20,698,0,55
2/9/20,740,0,73
2/10/20,771,1,105
2/11/20,804,1,128
2/12/20,844,1,152
2/13/20,872,1,170
2/14/20,900,1,187
2/15/20,913,1,210
2/16/20,925,1,240
2/17/20,930,1,275
2/18/20,933,1,310
2/19/20,934,1,362
2/20/20,934,1,433
2/21/20,934,1,489
2/22/20,934,1,555
2/23/20,934,1,613
2/24/20,934,1,645
2/25/20,934,1,683
2/26/20,934,1,719
2/27/20,934,1,754
2/28/20,935,1,790
2/29/20,935,1,811
3/1/20,935,1,831
3/2/20,935,1,850
3/3/20,935,1,870
3/4/20,935,1,884
3/5/20,935,1,901
3/6/20,935,1,909
3/7/20,935,1,916
3/8/20,935,1,919
3/9/20,935,1,923
3/10/20,935,1,927
3/11/20,935,1,932
3/12/20,935,1,934
3/13/20,935,1,934
3/14/20,935,1,934
3/15/20,935,1,934
3/16/20,935,1,934
3/17/20,935,1,934
3/18/20,935,1,934
3/19/20,935,1,934
3/20/20,935,1,934
3/21/20,935,1,934
3/22/20,936,1,934
3/23/20,936.0,1.0,934.0
