Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,1,0,0
1/24/20,3,0,0
1/25/20,4,0,0
1/26/20,4,0,0
1/27/20,6,0,0
1/28/20,8,0,0
1/29/20,9,0,0
1/30/20,14,0,1
1/31/20,14,0,1
2/1/20,17,0,1
2/2/20,23,0,1
2/3/20,31,0,1
2/4/20,42,0,1
2/5/20,54,0,2
2/6/20,59,0,4
2/7/20,65,1,4
2/8/20,69,1,4
2/9/20,78,1,12
2/10/20,80,1,13
2/11/20,81,1,18
2/12/20,83,1,22
2/13/20,84,1,24
2/14/20,86,1,25
2/15/20,88,1,26
2/16/20,89,1,30
2/17/20,89,1,34
2/18/20,89,1,36
2/19/20,90,1,37
2/20/20,91,1,43
2/21/20,91,1,45
2/22/20,91,1,52
2/23/20,91,1,54
2/24/20,93,1,60
2/25/20,93,1,63
2/26/20,93,1,65
2/27/20,93,1,67
2/28/20,93,1,73
2/29/20,93,1,75
3/1/20,93,1,78
3/2/20,93,1,83
3/3/20,93,1,83
3/4/20,93,1,86
3/5/20,93,1,88
3/6/20,93,1,90
3/7/20,93,1,90
3/8/20,93,1,90
3/9/20,93,1,91
3/10/20,93,1,91
3/11/20,93,1,91
3/12/20,93,1,91
3/13/20,93,1,91
3/14/20,93,1,91
3/15/20,93,1,91
3/16/20,93,1,92
3/17/20,93,1,92
3/18/20,93,1,92
3/19/20,93,1,92
3/20/20,93,1,92
3/21/20,93,1,92
3/22/20,93,1,92
3/23/20,93.0,1.0,92.0
