Date,Confirmed,Deaths,Recovered
1/22/20,2,0,0
1/23/20,3,0,0
1/24/20,4,0,0
1/25/20,17,0,0
1/26/20,21,0,0
1/27/20,27,0,0
1/28/20,34,0,0
1/29/20,39,0,1
1/30/20,41,0,1
1/31/20,48,0,1
2/1/20,64,0,1
2/2/20,70,0,1
2/3/20,74,0,1
2/4/20,81,0,2
2/5/20,89,0,4
2/6/20,94,0,5
2/7/20,99,0,7
2/8/20,105,0,8
2/9/20,107,0,12
2/10/20,108,0,13
2/11/20,111,0,19
2/12/20,116,1,20
2/13/20,117,1,22
2/14/20,119,1,29
2/15/20,119,1,31
2/16/20,121,1,40
2/17/20,121,1,43
2/18/20,121,1,53
2/19/20,121,1,55
2/20/20,121,1,59
2/21/20,121,1,61
2/22/20,121,1,66
2/23/20,121,1,73
2/24/20,121,1,80
2/25/20,121,1,83
2/26/20,121,1,88
2/27/20,121,1,93
2/28/20,121,1,93
2/29/20,121,1,96
3/1/20,122,1,103
3/2/20,122,1,103
3/3/20,125,1,106
3/4/20,125,1,106
3/5/20,125,1,106
3/6/20,125,1,106
3/7/20,125,1,107
3/8/20,125,1,109
3/9/20,125,1,109
3/10/20,125,1,111
3/11/20,125,1,111
3/12/20,125,1,112
3/13/20,125,1,112
3/14/20,125,1,113
3/15/20,125,1,114
3/16/20,125,1,115
3/17/20,125,1,120
3/18/20,125,1,122
3/19/20,125,1,122
3/20/20,126,2,122
3/21/20,126,2,122
3/22/20,126,2,124
3/23/20,127.0,2.0,124.0
