Date,Confirmed,Deaths,Recovered
1/22/20,1,0,0
1/23/20,2,0,0
1/24/20,2,0,0
1/25/20,2,0,0
1/26/20,5,0,0
1/27/20,6,0,0
1/28/20,7,0,0
1/29/20,7,0,0
1/30/20,7,0,0
1/31/20,7,0,0
2/1/20,7,0,0
2/2/20,8,0,0
2/3/20,8,0,0
2/4/20,10,0,0
2/5/20,10,0,0
2/6/20,10,0,1
2/7/20,10,0,1
2/8/20,10,0,1
2/9/20,10,0,1
2/10/20,10,0,1
2/11/20,10,0,1
2/12/20,10,0,2
2/13/20,10,0,3
2/14/20,10,0,3
2/15/20,10,0,3
2/16/20,10,0,5
2/17/20,10,0,5
2/18/20,10,0,5
2/19/20,10,0,5
2/20/20,10,0,6
2/21/20,10,0,6
2/22/20,10,0,6
2/23/20,10,0,6
2/24/20,10,0,6
2/25/20,10,0,7
2/26/20,10,0,7
2/27/20,10,0,8
2/28/20,10,0,8
2/29/20,10,0,8
3/1/20,10,0,8
3/2/20,10,0,8
3/3/20,10,0,9
3/4/20,10,0,9
3/5/20,10,0,9
3/6/20,10,0,10
3/7/20,10,0,10
3/8/20,10,0,10
3/9/20,10,0,10
3/10/20,10,0,10
3/11/20,10,0,10
3/12/20,10,0,10
3/13/20,10,0,10
3/14/20,10,0,10
3/15/20,10,0,10
3/16/20,11,0,10
3/17/20,12,0,10
3/18/20,15,0,10
3/19/20,17,0,10
3/20/20,17,0,10
3/21/20,18,0,10
3/22/20,20,0,10
3/23/20,24.0,0.0,10.0
