Date,Confirmed,Deaths,Recovered
1/22/20,1,0,0
1/23/20,1,0,0
1/24/20,2,0,0
1/25/20,3,0,0
1/26/20,4,0,0
1/27/20,7,0,0
1/28/20,11,0,0
1/29/20,12,0,0
1/30/20,17,0,0
1/31/20,21,0,0
2/1/20,26,0,0
2/2/20,28,0,0
2/3/20,31,0,1
2/4/20,34,0,1
2/5/20,34,0,1
2/6/20,40,0,1
2/7/20,43,0,5
2/8/20,45,0,15
2/9/20,45,0,13
2/10/20,49,0,13
2/11/20,53,0,22
2/12/20,58,0,24
2/13/20,64,0,24
2/14/20,67,0,24
2/15/20,70,0,33
2/16/20,70,0,33
2/17/20,70,0,35
2/18/20,70,0,42
2/19/20,71,0,42
2/20/20,71,0,44
2/21/20,71,0,48
2/22/20,71,0,48
2/23/20,71,0,56
2/24/20,71,0,58
2/25/20,71,0,61
2/26/20,71,0,65
2/27/20,72,0,68
2/28/20,72,0,68
2/29/20,73,0,69
3/1/20,73,0,69
3/2/20,74,0,69
3/3/20,74,0,69
3/4/20,75,0,69
3/5/20,75,0,69
3/6/20,75,0,71
3/7/20,75,0,71
3/8/20,75,0,71
3/9/20,75,0,71
3/10/20,75,0,71
3/11/20,75,0,72
3/12/20,75,0,72
3/13/20,75,0,72
3/14/20,75,0,73
3/15/20,75,0,73
3/16/20,75,0,75
3/17/20,75,0,75
3/18/20,75,0,75
3/19/20,75,0,75
3/20/20,75,0,75
3/21/20,75,0,75
3/22/20,75,0,75
3/23/20,75.0,0.0,75.0
