Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,1,0,0
1/26/20,1,0,0
1/27/20,6,0,0
1/28/20,6,0,0
1/29/20,6,0,0
1/30/20,8,0,0
1/31/20,8,0,0
2/1/20,9,0,0
2/2/20,11,0,0
2/3/20,13,0,0
2/4/20,15,0,0
2/5/20,17,0,3
2/6/20,18,0,3
2/7/20,18,0,3
2/8/20,18,0,3
2/9/20,18,0,3
2/10/20,18,0,3
2/11/20,18,0,5
2/12/20,18,0,9
2/13/20,18,0,11
2/14/20,18,0,11
2/15/20,18,0,13
2/16/20,18,0,13
2/17/20,18,0,13
2/18/20,18,0,15
2/19/20,18,0,16
2/20/20,18,0,16
2/21/20,18,0,18
2/22/20,18,0,18
2/23/20,18,0,18
2/24/20,18,0,18
2/25/20,18,0,18
2/26/20,18,0,18
2/27/20,18,0,18
2/28/20,18,0,18
2/29/20,18,0,18
3/1/20,18,0,18
3/2/20,18,0,18
3/3/20,18,0,18
3/4/20,18,0,18
3/5/20,18,0,18
3/6/20,18,0,18
3/7/20,18,0,18
3/8/20,18,0,18
3/9/20,18,0,18
3/10/20,18,0,18
3/11/20,18,0,18
3/12/20,18,0,18
3/13/20,18,0,18
3/14/20,18,0,18
3/15/20,18,0,18
3/16/20,18,0,18
3/17/20,18,0,18
3/18/20,18,0,18
3/19/20,18,0,18
3/20/20,18,0,18
3/21/20,18,0,18
3/22/20,18,0,18
3/23/20,18.0,0.0,18.0
