Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,3,0,0
1/24/20,5,0,0
1/25/20,15,0,0
1/26/20,22,0,0
1/27/20,35,0,0
1/28/20,46,0,0
1/29/20,56,0,0
1/30/20,63,0,0
1/31/20,87,0,0
2/1/20,101,0,0
2/2/20,116,0,0
2/3/20,128,0,0
2/4/20,142,0,2
2/5/20,165,0,6
2/6/20,173,0,9
2/7/20,184,0,17
2/8/20,195,0,20
2/9/20,208,0,25
2/10/20,213,0,30
2/11/20,219,0,32
2/12/20,225,0,43
2/13/20,229,0,46
2/14/20,230,0,54
2/15/20,232,0,60
2/16/20,236,0,71
2/17/20,240,0,79
2/18/20,240,0,89
2/19/20,242,0,102
2/20/20,245,1,118
2/21/20,245,1,134
2/22/20,245,1,149
2/23/20,245,1,163
2/24/20,245,1,173
2/25/20,245,1,186
2/26/20,245,1,192
2/27/20,245,1,195
2/28/20,245,1,199
2/29/20,245,1,207
3/1/20,245,1,208
3/2/20,245,1,216
3/3/20,245,1,216
3/4/20,245,1,223
3/5/20,245,1,224
3/6/20,245,1,226
3/7/20,245,1,226
3/8/20,245,1,227
3/9/20,245,1,227
3/10/20,245,1,227
3/11/20,245,1,232
3/12/20,245,2,232
3/13/20,245,2,232
3/14/20,245,2,232
3/15/20,245,2,232
3/16/20,245,2,233
3/17/20,246,3,236
3/18/20,246,3,237
3/19/20,246,3,237
3/20/20,247,3,237
3/21/20,248,3,239
3/22/20,248,3,239
3/23/20,248.0,3.0,239.0
