Date,Confirmed,Deaths,Recovered
1/22/20,2,0,0
1/23/20,6,0,0
1/24/20,15,0,0
1/25/20,27,0,0
1/26/20,46,0,0
1/27/20,75,0,0
1/28/20,95,0,0
1/29/20,130,0,1
1/30/20,158,0,1
1/31/20,184,0,2
2/1/20,206,0,3
2/2/20,230,0,6
2/3/20,259,0,7
2/4/20,275,0,11
2/5/20,307,0,15
2/6/20,347,0,27
2/7/20,386,0,37
2/8/20,416,0,44
2/9/20,444,1,63
2/10/20,466,1,66
2/11/20,487,1,80
2/12/20,497,2,92
2/13/20,509,2,105
2/14/20,523,2,136
2/15/20,532,2,156
2/16/20,537,2,173
2/17/20,541,2,191
2/18/20,543,3,211
2/19/20,544,3,231
2/20/20,546,4,254
2/21/20,749,4,281
2/22/20,750,4,302
2/23/20,754,4,321
2/24/20,755,5,343
2/25/20,756,6,355
2/26/20,756,6,377
2/27/20,756,6,387
2/28/20,756,6,405
2/29/20,756,6,421
3/1/20,758,6,443
3/2/20,758,6,460
3/3/20,758,6,511
3/4/20,758,6,516
3/5/20,758,6,578
3/6/20,758,6,618
3/7/20,758,6,627
3/8/20,758,6,642
3/9/20,758,6,700
3/10/20,758,6,719
3/11/20,760,6,726
3/12/20,760,6,734
3/13/20,760,7,739
3/14/20,760,7,741
3/15/20,760,7,741
3/16/20,760,7,746
3/17/20,761,7,746
3/18/20,761,7,746
3/19/20,761,7,747
3/20/20,762,7,748
3/21/20,764,7,749
3/22/20,766,7,750
3/23/20,767.0,7.0,751.0
