Date,Confirmed,Deaths,Recovered
1/22/20,9,0,0
1/23/20,16,0,0
1/24/20,20,0,1
1/25/20,33,0,1
1/26/20,40,1,1
1/27/20,53,1,3
1/28/20,66,1,4
1/29/20,96,1,5
1/30/20,112,1,5
1/31/20,135,1,9
2/1/20,169,1,10
2/2/20,182,1,10
2/3/20,203,1,10
2/4/20,219,1,12
2/5/20,243,1,15
2/6/20,257,1,25
2/7/20,277,1,30
2/8/20,286,1,41
2/9/20,293,1,44
2/10/20,299,1,48
2/11/20,303,1,52
2/12/20,311,1,57
2/13/20,315,1,62
2/14/20,318,1,90
2/15/20,326,1,124
2/16/20,328,1,140
2/17/20,333,1,161
2/18/20,333,1,177
2/19/20,333,2,186
2/20/20,334,2,199
2/21/20,334,2,211
2/22/20,335,3,227
2/23/20,335,3,249
2/24/20,335,3,261
2/25/20,336,3,268
2/26/20,337,3,272
2/27/20,337,3,276
2/28/20,337,3,279
2/29/20,337,3,287
3/1/20,337,3,290
3/2/20,337,3,292
3/3/20,338,3,294
3/4/20,338,3,298
3/5/20,339,3,303
3/6/20,342,3,306
3/7/20,342,3,313
3/8/20,342,3,314
3/9/20,342,3,315
3/10/20,344,3,319
3/11/20,344,3,320
3/12/20,344,3,321
3/13/20,346,3,324
3/14/20,353,3,324
3/15/20,353,3,324
3/16/20,355,3,325
3/17/20,358,3,325
3/18/20,361,3,326
3/19/20,363,3,326
3/20/20,371,3,326
3/21/20,380,3,327
3/22/20,394,4,328
3/23/20,404.0,4.0,329.0
