Date,Confirmed,Deaths,Recovered
1/22/20,1,0,0
1/23/20,1,0,0
1/24/20,1,0,0
1/25/20,6,0,0
1/26/20,9,0,0
1/27/20,13,0,0
1/28/20,27,0,0
1/29/20,27,0,1
1/30/20,35,0,1
1/31/20,39,0,1
2/1/20,47,0,1
2/2/20,66,0,3
2/3/20,74,0,2
2/4/20,81,0,4
2/5/20,81,0,5
2/6/20,96,0,12
2/7/20,104,0,15
2/8/20,115,0,21
2/9/20,119,0,25
2/10/20,119,0,25
2/11/20,124,0,30
2/12/20,126,0,33
2/13/20,126,0,36
2/14/20,127,0,38
2/15/20,128,0,46
2/16/20,129,0,50
2/17/20,130,0,53
2/18/20,131,0,61
2/19/20,131,0,68
2/20/20,132,0,76
2/21/20,132,0,78
2/22/20,132,0,81
2/23/20,132,0,88
2/24/20,133,0,94
2/25/20,133,0,98
2/26/20,133,0,104
2/27/20,133,0,107
2/28/20,133,0,112
2/29/20,133,0,114
3/1/20,133,0,116
3/2/20,133,0,119
3/3/20,133,0,124
3/4/20,133,0,124
3/5/20,133,0,126
3/6/20,133,0,126
3/7/20,133,0,126
3/8/20,133,0,126
3/9/20,133,0,127
3/10/20,133,0,131
3/11/20,133,0,131
3/12/20,133,0,132
3/13/20,133,0,133
3/14/20,133,0,133
3/15/20,133,0,133
3/16/20,133,0,133
3/17/20,133,0,133
3/18/20,133,0,133
3/19/20,133,0,133
3/20/20,133,0,133
3/21/20,133,0,133
3/22/20,133,0,133
3/23/20,133.0,0.0,133.0
