Date,Confirmed,Deaths,Recovered
1/22/20,5,0,0
1/23/20,8,0,0
1/24/20,15,0,0
1/25/20,28,0,0
1/26/20,44,0,0
1/27/20,69,0,0
1/28/20,90,0,0
1/29/20,108,1,1
1/30/20,142,1,1
1/31/20,177,1,1
2/1/20,207,1,3
2/2/20,231,1,11
2/3/20,254,1,14
2/4/20,282,1,14
2/5/20,301,1,24
2/6/20,321,1,31
2/7/20,344,1,42
2/8/20,364,1,60
2/9/20,386,1,71
2/10/20,405,1,80
2/11/20,417,1,85
2/12/20,436,1,92
2/13/20,451,1,104
2/14/20,463,1,114
2/15/20,470,1,119
2/16/20,481,3,131
2/17/20,495,3,156
2/18/20,508,3,169
2/19/20,514,3,188
2/20/20,520,3,217
2/21/20,525,3,231
2/22/20,526,3,250
2/23/20,526,3,261
2/24/20,527,3,276
2/25/20,529,3,289
2/26/20,531,3,307
2/27/20,534,3,321
2/28/20,538,3,338
2/29/20,538,3,351
3/1/20,538,3,365
3/2/20,538,3,386
3/3/20,538,3,394
3/4/20,538,3,406
3/5/20,539,3,425
3/6/20,539,3,442
3/7/20,539,3,454
3/8/20,539,3,464
3/9/20,539,3,466
3/10/20,539,3,478
3/11/20,539,3,488
3/12/20,539,3,498
3/13/20,539,3,503
3/14/20,539,3,511
3/15/20,539,3,516
3/16/20,539,3,516
3/17/20,540,3,520
3/18/20,540,3,525
3/19/20,540,3,536
3/20/20,541,3,536
3/21/20,542,3,536
3/22/20,543,3,536
3/23/20,543.0,3.0,536.0
