Date,Confirmed,Deaths,Recovered
1/22/20,4,0,0
1/23/20,4,0,0
1/24/20,8,0,0
1/25/20,10,0,0
1/26/20,14,0,0
1/27/20,23,0,0
1/28/20,24,0,0
1/29/20,27,0,0
1/30/20,31,0,0
1/31/20,32,0,0
2/1/20,41,0,0
2/2/20,48,0,1
2/3/20,60,0,1
2/4/20,67,0,2
2/5/20,69,1,2
2/6/20,79,1,2
2/7/20,81,1,2
2/8/20,88,1,4
2/9/20,91,1,4
2/10/20,95,1,8
2/11/20,106,2,10
2/12/20,112,2,11
2/13/20,119,3,21
2/14/20,120,3,31
2/15/20,122,3,37
2/16/20,124,3,45
2/17/20,125,3,46
2/18/20,128,3,48
2/19/20,130,3,54
2/20/20,131,3,59
2/21/20,132,3,62
2/22/20,135,3,65
2/23/20,135,3,81
2/24/20,135,3,87
2/25/20,135,3,91
2/26/20,135,3,96
2/27/20,136,3,102
2/28/20,136,3,102
2/29/20,136,3,109
3/1/20,136,3,111
3/2/20,136,3,111
3/3/20,136,3,124
3/4/20,136,3,124
3/5/20,136,3,128
3/6/20,136,3,128
3/7/20,136,3,128
3/8/20,136,3,128
3/9/20,136,3,130
3/10/20,136,3,131
3/11/20,136,3,131
3/12/20,136,3,132
3/13/20,136,3,132
3/14/20,136,3,132
3/15/20,136,3,133
3/16/20,136,3,133
3/17/20,136,3,133
3/18/20,136,3,133
3/19/20,137,3,133
3/20/20,137,3,133
3/21/20,137,3,133
3/22/20,137,3,133
3/23/20,141.0,3.0,133.0
