Date,Confirmed,Deaths,Recovered
1/22/20,1,0,0
1/23/20,2,0,0
1/24/20,5,0,0
1/25/20,11,0,0
1/26/20,16,0,0
1/27/20,26,0,0
1/28/20,44,0,0
1/29/20,55,0,0
1/30/20,70,0,0
1/31/20,83,0,1
2/1/20,93,0,2
2/2/20,105,0,3
2/3/20,117,0,5
2/4/20,122,0,5
2/5/20,128,0,5
2/6/20,133,0,7
2/7/20,138,0,12
2/8/20,138,0,17
2/9/20,141,0,18
2/10/20,149,0,19
2/11/20,153,0,20
2/12/20,154,0,26
2/13/20,156,0,27
2/14/20,162,0,36
2/15/20,168,0,42
2/16/20,171,0,42
2/17/20,171,0,47
2/18/20,172,0,57
2/19/20,172,1,60
2/20/20,174,2,79
2/21/20,174,2,96
2/22/20,174,2,107
2/23/20,174,2,115
2/24/20,174,2,124
2/25/20,174,2,129
2/26/20,174,2,144
2/27/20,174,2,150
2/28/20,174,2,156
2/29/20,174,2,157
3/1/20,174,2,163
3/2/20,174,2,168
3/3/20,174,2,169
3/4/20,174,2,169
3/5/20,174,2,169
3/6/20,174,2,170
3/7/20,174,2,170
3/8/20,174,2,170
3/9/20,174,2,170
3/10/20,174,2,170
3/11/20,174,2,170
3/12/20,174,2,170
3/13/20,174,2,170
3/14/20,174,2,172
3/15/20,174,2,172
3/16/20,176,2,172
3/17/20,176,2,172
3/18/20,176,2,172
3/19/20,176,2,172
3/20/20,176,2,172
3/21/20,176,2,172
3/22/20,176,2,172
3/23/20,176.0,2.0,172.0
