Date,Confirmed,Deaths,Recovered
1/22/20,10,0,0
1/23/20,27,0,0
1/24/20,43,0,1
1/25/20,62,0,1
1/26/20,104,0,1
1/27/20,128,0,1
1/28/20,173,0,3
1/29/20,296,0,3
1/30/20,428,0,4
1/31/20,538,0,14
2/1/20,599,0,21
2/2/20,661,0,32
2/3/20,724,0,43
2/4/20,829,0,62
2/5/20,895,0,78
2/6/20,954,0,94
2/7/20,1006,0,123
2/8/20,1048,0,175
2/9/20,1075,0,201
2/10/20,1092,0,242
2/11/20,1117,0,270
2/12/20,1131,0,321
2/13/20,1145,0,360
2/14/20,1155,0,403
2/15/20,1162,0,428
2/16/20,1167,0,456
2/17/20,1171,0,507
2/18/20,1172,0,535
2/19/20,1174,0,604
2/20/20,1175,1,633
2/21/20,1203,1,679
2/22/20,1205,1,719
2/23/20,1205,1,760
2/24/20,1205,1,782
2/25/20,1205,1,808
2/26/20,1205,1,867
2/27/20,1205,1,932
2/28/20,1205,1,975
2/29/20,1205,1,1016
3/1/20,1205,1,1046
3/2/20,1206,1,1069
3/3/20,1213,1,1093
3/4/20,1213,1,1114
3/5/20,1215,1,1124
3/6/20,1215,1,1147
3/7/20,1215,1,1154
3/8/20,1215,1,1161
3/9/20,1215,1,1176
3/10/20,1215,1,1191
3/11/20,1215,1,1195
3/12/20,1215,1,1197
3/13/20,1215,1,1197
3/14/20,1227,1,1211
3/15/20,1231,1,1211
3/16/20,1231,1,1216
3/17/20,1232,1,1216
3/18/20,1232,1,1216
3/19/20,1233,1,1217
3/20/20,1234,1,1219
3/21/20,1236,1,1219
3/22/20,1237,1,1219
3/23/20,1238.0,1.0,1221.0
