Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,61,0,0
2/8/20,61,0,0
2/9/20,64,0,0
2/10/20,135,0,0
2/11/20,135,0,0
2/12/20,175,0,0
2/13/20,175,0,0
2/14/20,218,0,0
2/15/20,285,0,0
2/16/20,355,0,0
2/17/20,454,0,0
2/18/20,542,0,0
2/19/20,621,0,1
2/20/20,634,2,1
2/21/20,634,2,1
2/22/20,634,2,1
2/23/20,691,3,0
2/24/20,727,3,0
2/25/20,727,3,0
2/26/20,747,4,10
2/27/20,747,4,10
2/28/20,749,6,10
2/29/20,749,6,10
3/1/20,749,6,10
3/2/20,750,6,10
3/3/20,751,6,10
3/4/20,751,6,10
3/5/20,751,6,10
3/6/20,741,6,40
3/7/20,741,6,40
3/8/20,741,6,40
3/9/20,741,6,40
3/10/20,742,6,40
3/11/20,742,7,325
3/12/20,742,7,325
3/13/20,742,7,325
3/14/20,742,7,325
3/15/20,742,7,325
3/16/20,743,7,325
3/17/20,743,7,325
3/18/20,759,7,325
3/19/20,759,7,325
3/20/20,761,7,325
3/21/20,761,8,325
3/22/20,761,8,325
3/23/20,761.0,8.0,325.0
