Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,1,0,0
2/15/20,1,0,0
2/16/20,1,0,0
2/17/20,1,0,0
2/18/20,1,0,0
2/19/20,1,0,0
2/20/20,1,0,0
2/21/20,1,0,0
2/22/20,1,0,0
2/23/20,1,0,0
2/24/20,1,0,0
2/25/20,1,0,0
2/26/20,1,0,0
2/27/20,1,0,0
2/28/20,1,0,1
2/29/20,1,0,1
3/1/20,2,0,1
3/2/20,2,0,1
3/3/20,2,0,1
3/4/20,2,0,1
3/5/20,3,0,1
3/6/20,15,0,1
3/7/20,15,0,1
3/8/20,49,1,1
3/9/20,55,1,1
3/10/20,59,1,1
3/11/20,60,1,27
3/12/20,67,1,27
3/13/20,80,2,27
3/14/20,109,2,27
3/15/20,110,2,21
3/16/20,150,2,27
3/17/20,196,4,32
3/18/20,196,6,32
3/19/20,256,6,32
3/20/20,285,8,39
3/21/20,294,10,41
3/22/20,327,14,56
3/23/20,327.0,14.0,56.0
