Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,1,0,0
1/31/20,1,0,0
2/1/20,1,0,0
2/2/20,2,0,0
2/3/20,3,0,0
2/4/20,3,0,0
2/5/20,3,0,0
2/6/20,3,0,0
2/7/20,3,0,0
2/8/20,3,0,0
2/9/20,3,0,0
2/10/20,3,0,0
2/11/20,3,0,0
2/12/20,3,0,0
2/13/20,3,0,0
2/14/20,3,0,0
2/15/20,3,0,0
2/16/20,3,0,3
2/17/20,3,0,3
2/18/20,3,0,3
2/19/20,3,0,3
2/20/20,3,0,3
2/21/20,3,0,3
2/22/20,3,0,3
2/23/20,3,0,3
2/24/20,3,0,3
2/25/20,3,0,3
2/26/20,3,0,3
2/27/20,3,0,3
2/28/20,3,0,3
2/29/20,3,0,3
3/1/20,3,0,3
3/2/20,5,0,3
3/3/20,5,0,3
3/4/20,28,0,3
3/5/20,30,0,3
3/6/20,31,0,3
3/7/20,34,0,3
3/8/20,39,0,3
3/9/20,43,0,3
3/10/20,56,0,4
3/11/20,62,1,4
3/12/20,73,1,4
3/13/20,82,2,4
3/14/20,102,2,4
3/15/20,113,2,13
3/16/20,119,2,13
3/17/20,142,3,14
3/18/20,156,3,14
3/19/20,194,4,15
3/20/20,244,5,20
3/21/20,330,4,23
3/22/20,396,7,27
3/23/20,396.0,7.0,27.0
