Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,2,2,0
2/20/20,5,2,0
2/21/20,18,4,0
2/22/20,28,5,0
2/23/20,43,8,0
2/24/20,61,12,0
2/25/20,95,16,0
2/26/20,139,19,49
2/27/20,245,26,49
2/28/20,388,34,73
2/29/20,593,43,123
3/1/20,978,54,175
3/2/20,1501,66,291
3/3/20,2336,77,291
3/4/20,2922,92,552
3/5/20,3513,107,739
3/6/20,4747,124,913
3/7/20,5823,145,1669
3/8/20,6566,194,2134
3/9/20,7161,237,2394
3/10/20,8042,291,2731
3/11/20,9000,354,2959
3/12/20,10075,429,2959
3/13/20,11364,514,2959
3/14/20,12729,611,2959
3/15/20,13938,724,4590
3/16/20,14991,853,4590
3/17/20,16169,988,5389
3/18/20,17361,1135,5389
3/19/20,18407,1284,5710
3/20/20,19644,1433,6745
3/21/20,20610,1556,7635
3/22/20,21638,1685,7931
3/23/20,21638.0,1685.0,7931.0
