Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,1,0,0
2/22/20,1,0,0
2/23/20,1,0,0
2/24/20,1,0,0
2/25/20,1,0,0
2/26/20,2,0,0
2/27/20,3,0,1
2/28/20,4,0,1
2/29/20,7,0,1
3/1/20,10,0,1
3/2/20,10,0,1
3/3/20,12,0,1
3/4/20,15,0,1
3/5/20,20,0,1
3/6/20,37,0,2
3/7/20,43,0,2
3/8/20,61,0,2
3/9/20,61,0,2
3/10/20,83,0,4
3/11/20,109,0,4
3/12/20,131,0,4
3/13/20,161,0,4
3/14/20,193,0,4
3/15/20,251,0,4
3/16/20,255,0,4
3/17/20,337,0,11
3/18/20,433,0,11
3/19/20,677,0,11
3/20/20,705,0,14
3/21/20,883,1,36
3/22/20,1071,1,37
3/23/20,1071.0,1.0,37.0
