Date,Confirmed,Deaths,Recovered
1/22/20,2,0,0
1/23/20,1,0,0
1/24/20,2,0,0
1/25/20,2,0,0
1/26/20,4,0,1
1/27/20,4,0,1
1/28/20,7,0,1
1/29/20,7,0,1
1/30/20,11,0,1
1/31/20,15,0,1
2/1/20,20,0,1
2/2/20,20,0,1
2/3/20,20,0,1
2/4/20,22,0,1
2/5/20,22,0,1
2/6/20,45,0,1
2/7/20,25,0,1
2/8/20,25,0,1
2/9/20,26,0,1
2/10/20,26,0,4
2/11/20,26,0,9
2/12/20,28,0,9
2/13/20,28,1,9
2/14/20,29,1,9
2/15/20,43,1,12
2/16/20,59,1,12
2/17/20,66,1,12
2/18/20,74,1,13
2/19/20,84,1,18
2/20/20,94,1,18
2/21/20,105,1,22
2/22/20,122,1,22
2/23/20,147,1,22
2/24/20,159,1,22
2/25/20,170,1,22
2/26/20,189,2,22
2/27/20,214,4,22
2/28/20,228,4,22
2/29/20,241,5,32
3/1/20,256,6,32
3/2/20,274,6,32
3/3/20,293,6,43
3/4/20,331,6,43
3/5/20,360,6,43
3/6/20,420,6,46
3/7/20,461,6,76
3/8/20,502,6,76
3/9/20,511,10,76
3/10/20,581,10,101
3/11/20,639,15,118
3/12/20,639,16,118
3/13/20,701,19,118
3/14/20,773,22,118
3/15/20,839,22,118
3/16/20,825,27,144
3/17/20,878,29,144
3/18/20,889,29,144
3/19/20,924,29,150
3/20/20,963,33,191
3/21/20,1007,35,232
3/22/20,1086,40,235
3/23/20,1086.0,40.0,235.0
