Date,Confirmed,Deaths,Recovered
1/22/20,1,0,0
1/23/20,1,0,0
1/24/20,2,0,0
1/25/20,2,0,0
1/26/20,3,0,0
1/27/20,4,0,0
1/28/20,4,0,0
1/29/20,4,0,0
1/30/20,4,0,0
1/31/20,11,0,0
2/1/20,12,0,0
2/2/20,15,0,0
2/3/20,15,0,0
2/4/20,16,0,0
2/5/20,19,0,0
2/6/20,23,0,0
2/7/20,24,0,1
2/8/20,24,0,1
2/9/20,25,0,3
2/10/20,27,0,3
2/11/20,28,0,3
2/12/20,28,0,7
2/13/20,28,0,7
2/14/20,28,0,7
2/15/20,28,0,9
2/16/20,29,0,9
2/17/20,30,0,10
2/18/20,31,0,12
2/19/20,31,0,12
2/20/20,104,1,16
2/21/20,204,2,16
2/22/20,433,2,16
2/23/20,602,6,18
2/24/20,833,8,18
2/25/20,977,10,22
2/26/20,1261,12,22
2/27/20,1766,13,22
2/28/20,2337,13,22
2/29/20,3150,16,27
3/1/20,3736,17,30
3/2/20,4335,28,30
3/3/20,5186,28,30
3/4/20,5621,35,41
3/5/20,6088,35,41
3/6/20,6593,42,135
3/7/20,7041,44,135
3/8/20,7314,50,118
3/9/20,7478,53,118
3/10/20,7513,54,247
3/11/20,7755,60,288
3/12/20,7869,66,333
3/13/20,7979,66,510
3/14/20,8086,72,510
3/15/20,8162,75,510
3/16/20,8236,75,1137
3/17/20,8320,81,1407
3/18/20,8413,84,1540
3/19/20,8565,91,1540
3/20/20,8652,94,1540
3/21/20,8799,102,1540
3/22/20,8897,104,2909
3/23/20,8897.0,104.0,2909.0
