Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,3,0,0
1/26/20,4,0,0
1/27/20,4,0,0
1/28/20,4,0,0
1/29/20,7,0,0
1/30/20,8,0,0
1/31/20,8,0,0
2/1/20,8,0,0
2/2/20,8,0,0
2/3/20,8,0,0
2/4/20,10,0,0
2/5/20,12,0,0
2/6/20,12,0,0
2/7/20,12,0,1
2/8/20,16,0,1
2/9/20,16,0,1
2/10/20,18,0,1
2/11/20,18,0,3
2/12/20,18,0,3
2/13/20,19,0,3
2/14/20,19,0,3
2/15/20,22,0,7
2/16/20,22,0,7
2/17/20,22,0,7
2/18/20,22,0,13
2/19/20,22,0,15
2/20/20,22,0,15
2/21/20,22,0,15
2/22/20,22,0,15
2/23/20,22,0,15
2/24/20,22,0,18
2/25/20,22,0,18
2/26/20,22,0,18
2/27/20,23,0,18
2/28/20,23,0,18
2/29/20,25,0,18
3/1/20,29,0,18
3/2/20,29,0,18
3/3/20,36,0,22
3/4/20,50,0,22
3/5/20,50,0,22
3/6/20,83,0,22
3/7/20,93,0,23
3/8/20,99,0,24
3/9/20,117,0,24
3/10/20,129,0,24
3/11/20,149,0,26
3/12/20,149,0,26
3/13/20,197,0,26
3/14/20,238,0,35
3/15/20,428,0,42
3/16/20,566,0,42
3/17/20,673,2,49
3/18/20,790,2,60
3/19/20,900,2,75
3/20/20,1030,3,87
3/21/20,1183,4,114
3/22/20,1306,10,139
3/23/20,1306.0,10.0,139.0
