Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,1,0,0
2/28/20,1,0,0
2/29/20,6,0,0
3/1/20,10,0,0
3/2/20,18,0,0
3/3/20,24,0,0
3/4/20,38,0,0
3/5/20,82,0,0
3/6/20,128,1,0
3/7/20,188,1,0
3/8/20,265,3,0
3/9/20,321,3,0
3/10/20,382,4,0
3/11/20,503,5,0
3/12/20,503,5,0
3/13/20,806,10,0
3/14/20,962,12,2
3/15/20,1138,20,2
3/16/20,1416,24,2
3/17/20,1711,43,2
3/18/20,2058,58,2
3/19/20,2467,77,2
3/20/20,3003,107,2
3/21/20,3640,137,2
3/22/20,4216,180,2
3/23/20,4216.0,180.0,2.0
