Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,1,0,0
1/31/20,1,0,0
2/1/20,1,0,0
2/2/20,2,1,0
2/3/20,2,1,0
2/4/20,2,1,0
2/5/20,2,1,0
2/6/20,2,1,0
2/7/20,3,1,0
2/8/20,3,1,0
2/9/20,3,1,0
2/10/20,3,1,0
2/11/20,3,1,0
2/12/20,3,1,1
2/13/20,3,1,1
2/14/20,3,1,1
2/15/20,3,1,1
2/16/20,3,1,1
2/17/20,3,1,1
2/18/20,3,1,1
2/19/20,3,1,1
2/20/20,3,1,1
2/21/20,3,1,1
2/22/20,3,1,1
2/23/20,3,1,1
2/24/20,3,1,1
2/25/20,3,1,1
2/26/20,3,1,1
2/27/20,3,1,1
2/28/20,3,1,1
2/29/20,3,1,1
3/1/20,3,1,1
3/2/20,3,1,1
3/3/20,3,1,1
3/4/20,3,1,1
3/5/20,3,1,1
3/6/20,5,1,1
3/7/20,6,1,1
3/8/20,10,1,1
3/9/20,20,1,1
3/10/20,33,1,2
3/11/20,49,1,2
3/12/20,52,2,2
3/13/20,64,5,2
3/14/20,111,8,2
3/15/20,140,11,2
3/16/20,142,12,2
3/17/20,187,12,5
3/18/20,202,19,5
3/19/20,217,17,8
3/20/20,230,18,8
3/21/20,307,19,13
3/22/20,380,25,17
3/23/20,380.0,25.0,17.0
