Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,2,0,0
2/1/20,2,0,0
2/2/20,2,0,0
2/3/20,2,0,0
2/4/20,2,0,0
2/5/20,2,0,0
2/6/20,2,0,0
2/7/20,2,0,0
2/8/20,2,0,0
2/9/20,2,0,0
2/10/20,2,0,0
2/11/20,2,0,0
2/12/20,2,0,2
2/13/20,2,0,2
2/14/20,2,0,2
2/15/20,2,0,2
2/16/20,2,0,2
2/17/20,2,0,2
2/18/20,2,0,2
2/19/20,2,0,2
2/20/20,2,0,2
2/21/20,2,0,2
2/22/20,2,0,2
2/23/20,2,0,2
2/24/20,2,0,2
2/25/20,2,0,2
2/26/20,2,0,2
2/27/20,2,0,2
2/28/20,2,0,2
2/29/20,2,0,2
3/1/20,2,0,2
3/2/20,3,0,2
3/3/20,3,0,2
3/4/20,3,0,2
3/5/20,4,0,2
3/6/20,13,0,2
3/7/20,13,0,2
3/8/20,17,0,3
3/9/20,17,0,3
3/10/20,20,0,3
3/11/20,20,0,3
3/12/20,28,0,3
3/13/20,45,0,3
3/14/20,59,0,8
3/15/20,63,0,8
3/16/20,90,0,8
3/17/20,114,0,8
3/18/20,147,0,8
3/19/20,199,1,9
3/20/20,253,1,9
3/21/20,306,1,12
3/22/20,367,0,16
3/23/20,367.0,0.0,16.0
