Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,1,0,0
1/24/20,3,0,0
1/25/20,3,0,0
1/26/20,4,0,0
1/27/20,5,0,0
1/28/20,7,0,0
1/29/20,7,0,0
1/30/20,10,0,0
1/31/20,13,0,0
2/1/20,16,0,0
2/2/20,18,0,0
2/3/20,18,0,0
2/4/20,24,0,0
2/5/20,28,0,0
2/6/20,28,0,0
2/7/20,30,0,0
2/8/20,33,0,2
2/9/20,40,0,2
2/10/20,45,0,2
2/11/20,47,0,9
2/12/20,50,0,15
2/13/20,58,0,15
2/14/20,67,0,17
2/15/20,72,0,18
2/16/20,75,0,18
2/17/20,77,0,24
2/18/20,81,0,29
2/19/20,84,0,34
2/20/20,84,0,34
2/21/20,85,0,37
2/22/20,85,0,37
2/23/20,89,0,51
2/24/20,89,0,51
2/25/20,91,0,53
2/26/20,93,0,62
2/27/20,93,0,62
2/28/20,93,0,62
2/29/20,102,0,72
3/1/20,106,0,72
3/2/20,108,0,78
3/3/20,110,0,78
3/4/20,110,0,78
3/5/20,117,0,78
3/6/20,130,0,78
3/7/20,138,0,78
3/8/20,150,0,78
3/9/20,150,0,78
3/10/20,160,0,78
3/11/20,178,0,96
3/12/20,178,0,96
3/13/20,200,0,97
3/14/20,212,0,105
3/15/20,226,0,105
3/16/20,243,0,109
3/17/20,266,0,114
3/18/20,313,0,114
3/19/20,345,0,114
3/20/20,385,0,124
3/21/20,432,2,140
3/22/20,455,2,144
3/23/20,455.0,2.0,144.0
