Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,1,0,0
2/2/20,1,0,0
2/3/20,1,0,0
2/4/20,1,0,0
2/5/20,1,0,0
2/6/20,1,0,0
2/7/20,1,0,0
2/8/20,1,0,0
2/9/20,2,0,0
2/10/20,2,0,0
2/11/20,2,0,0
2/12/20,2,0,0
2/13/20,2,0,0
2/14/20,2,0,0
2/15/20,2,0,2
2/16/20,2,0,2
2/17/20,2,0,2
2/18/20,2,0,2
2/19/20,2,0,2
2/20/20,2,0,2
2/21/20,2,0,2
2/22/20,2,0,2
2/23/20,2,0,2
2/24/20,2,0,2
2/25/20,6,0,2
2/26/20,13,0,2
2/27/20,15,0,2
2/28/20,32,0,2
2/29/20,45,0,2
3/1/20,84,0,2
3/2/20,120,0,2
3/3/20,165,1,2
3/4/20,222,2,2
3/5/20,259,3,2
3/6/20,400,5,2
3/7/20,500,10,30
3/8/20,673,17,30
3/9/20,1073,28,32
3/10/20,1695,35,32
3/11/20,2277,54,183
3/12/20,2277,55,183
3/13/20,5232,133,193
3/14/20,6391,195,517
3/15/20,7798,289,517
3/16/20,9942,342,530
3/17/20,11748,533,1028
3/18/20,13910,623,1081
3/19/20,17963,830,1107
3/20/20,20410,1043,1588
3/21/20,25374,1375,2125
3/22/20,28768,1772,2575
3/23/20,28768.0,1772.0,2575.0
