Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,1,0,0
2/1/20,1,0,0
2/2/20,1,0,0
2/3/20,1,0,0
2/4/20,1,0,0
2/5/20,1,0,0
2/6/20,1,0,0
2/7/20,1,0,0
2/8/20,1,0,0
2/9/20,1,0,0
2/10/20,1,0,0
2/11/20,1,0,0
2/12/20,1,0,0
2/13/20,1,0,0
2/14/20,1,0,0
2/15/20,1,0,0
2/16/20,1,0,0
2/17/20,1,0,0
2/18/20,1,0,0
2/19/20,1,0,0
2/20/20,1,0,0
2/21/20,1,0,0
2/22/20,1,0,0
2/23/20,1,0,0
2/24/20,1,0,0
2/25/20,1,0,0
2/26/20,2,0,0
2/27/20,7,0,0
2/28/20,7,0,0
2/29/20,12,0,0
3/1/20,14,0,0
3/2/20,15,0,0
3/3/20,21,0,0
3/4/20,35,0,0
3/5/20,94,0,0
3/6/20,101,0,0
3/7/20,161,0,0
3/8/20,203,0,0
3/9/20,248,0,1
3/10/20,355,0,1
3/11/20,500,1,1
3/12/20,599,1,1
3/13/20,814,1,1
3/14/20,961,2,1
3/15/20,1022,3,1
3/16/20,1103,6,1
3/17/20,1190,7,1
3/18/20,1279,10,1
3/19/20,1439,11,16
3/20/20,1639,16,16
3/21/20,1763,20,16
3/22/20,1934,21,16
3/23/20,1934.0,21.0,16.0
