Date,Confirmed,Deaths,Recovered
1/22/20,1,0,0
1/23/20,1,0,0
1/24/20,3,0,0
1/25/20,3,0,0
1/26/20,4,0,0
1/27/20,5,0,0
1/28/20,8,0,0
1/29/20,8,0,0
1/30/20,9,0,0
1/31/20,10,0,0
2/1/20,10,0,0
2/2/20,10,0,0
2/3/20,10,0,0
2/4/20,11,0,0
2/5/20,11,0,0
2/6/20,16,0,1
2/7/20,16,0,1
2/8/20,17,0,1
2/9/20,18,0,1
2/10/20,18,0,1
2/11/20,18,0,1
2/12/20,18,0,1
2/13/20,18,0,1
2/14/20,18,0,2
2/15/20,18,0,2
2/16/20,20,1,2
2/17/20,22,1,2
2/18/20,22,1,2
2/19/20,23,1,2
2/20/20,24,1,2
2/21/20,26,1,2
2/22/20,26,1,2
2/23/20,28,1,2
2/24/20,30,1,5
2/25/20,31,1,5
2/26/20,32,1,5
2/27/20,32,1,5
2/28/20,34,1,6
2/29/20,39,1,9
3/1/20,40,1,9
3/2/20,41,1,12
3/3/20,42,1,12
3/4/20,42,1,12
3/5/20,44,1,12
3/6/20,45,1,12
3/7/20,45,1,12
3/8/20,45,1,13
3/9/20,45,1,15
3/10/20,47,1,17
3/11/20,48,1,17
3/12/20,49,1,20
3/13/20,50,1,20
3/14/20,53,1,20
3/15/20,59,1,20
3/16/20,67,1,20
3/17/20,77,1,22
3/18/20,100,1,22
3/19/20,108,1,26
3/20/20,135,2,26
3/21/20,153,2,28
3/22/20,169,2,28
3/23/20,169.0,2.0,28.0
