Date,Confirmed,Deaths,Recovered
1/22/20,2,0,0
1/23/20,3,0,0
1/24/20,5,0,0
1/25/20,7,0,0
1/26/20,8,0,2
1/27/20,8,0,2
1/28/20,14,0,5
1/29/20,14,0,5
1/30/20,14,0,5
1/31/20,19,0,5
2/1/20,19,0,5
2/2/20,19,0,5
2/3/20,19,0,5
2/4/20,25,0,5
2/5/20,25,0,5
2/6/20,25,0,5
2/7/20,25,0,5
2/8/20,32,0,10
2/9/20,32,0,10
2/10/20,32,0,10
2/11/20,33,0,10
2/12/20,33,0,10
2/13/20,33,0,12
2/14/20,33,0,12
2/15/20,33,0,12
2/16/20,34,0,14
2/17/20,35,0,15
2/18/20,35,0,15
2/19/20,35,0,15
2/20/20,35,0,15
2/21/20,35,0,17
2/22/20,35,0,17
2/23/20,35,0,21
2/24/20,35,0,21
2/25/20,37,0,22
2/26/20,40,0,22
2/27/20,40,0,22
2/28/20,41,0,28
2/29/20,42,0,28
3/1/20,42,1,28
3/2/20,43,1,31
3/3/20,43,1,31
3/4/20,43,1,31
3/5/20,47,1,31
3/6/20,48,1,31
3/7/20,50,1,31
3/8/20,50,1,31
3/9/20,50,1,31
3/10/20,53,1,33
3/11/20,59,1,34
3/12/20,70,1,34
3/13/20,75,1,35
3/14/20,82,1,35
3/15/20,114,1,35
3/16/20,147,1,35
3/17/20,177,1,41
3/18/20,212,1,42
3/19/20,272,1,42
3/20/20,322,1,42
3/21/20,411,1,42
3/22/20,599,1,44
3/23/20,599.0,1.0,44.0
