Date,Confirmed,Deaths,Recovered
1/22/20,1,0,0
1/23/20,1,0,0
1/24/20,2,0,0
1/25/20,2,0,0
1/26/20,5,0,0
1/27/20,5,0,0
1/28/20,5,0,0
1/29/20,5,0,0
1/30/20,5,0,0
1/31/20,7,0,0
2/1/20,8,0,0
2/2/20,8,0,0
2/3/20,11,0,0
2/4/20,11,0,0
2/5/20,11,0,0
2/6/20,11,0,0
2/7/20,11,0,0
2/8/20,11,0,0
2/9/20,11,0,3
2/10/20,11,0,3
2/11/20,12,0,3
2/12/20,12,0,3
2/13/20,13,0,3
2/14/20,13,0,3
2/15/20,13,0,3
2/16/20,13,0,3
2/17/20,13,0,3
2/18/20,13,0,3
2/19/20,13,0,3
2/20/20,13,0,3
2/21/20,15,0,5
2/22/20,15,0,5
2/23/20,15,0,5
2/24/20,51,0,5
2/25/20,51,0,6
2/26/20,57,0,6
2/27/20,58,0,6
2/28/20,60,0,7
2/29/20,68,1,7
3/1/20,74,1,7
3/2/20,98,6,7
3/3/20,118,7,7
3/4/20,149,11,7
3/5/20,217,12,7
3/6/20,262,14,7
3/7/20,402,17,7
3/8/20,518,21,7
3/9/20,583,22,7
3/10/20,959,28,8
3/11/20,1281,36,8
3/12/20,1663,40,12
3/13/20,2179,47,12
3/14/20,2727,54,12
3/15/20,3499,63,12
3/16/20,4632,85,17
3/17/20,6421,108,17
3/18/20,7783,118,0
3/19/20,13677,200,0
3/20/20,19100,244,0
3/21/20,25489,307,0
3/22/20,33272,417,0
3/23/20,33276.0,417.0,178.0
