Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,2,0,0
2/1/20,2,0,0
2/2/20,2,0,0
2/3/20,2,0,0
2/4/20,2,0,0
2/5/20,2,0,0
2/6/20,2,0,0
2/7/20,3,0,0
2/8/20,3,0,0
2/9/20,3,0,0
2/10/20,8,0,0
2/11/20,8,0,0
2/12/20,9,0,1
2/13/20,9,0,1
2/14/20,9,0,1
2/15/20,9,0,1
2/16/20,9,0,8
2/17/20,9,0,8
2/18/20,9,0,8
2/19/20,9,0,8
2/20/20,9,0,8
2/21/20,9,0,8
2/22/20,9,0,8
2/23/20,9,0,8
2/24/20,13,0,8
2/25/20,13,0,8
2/26/20,13,0,8
2/27/20,15,0,8
2/28/20,20,0,8
2/29/20,23,0,8
3/1/20,36,0,8
3/2/20,40,0,8
3/3/20,51,0,8
3/4/20,85,0,8
3/5/20,115,1,8
3/6/20,163,2,8
3/7/20,206,2,18
3/8/20,273,3,18
3/9/20,321,4,18
3/10/20,382,6,18
3/11/20,456,8,18
3/12/20,456,8,18
3/13/20,798,8,18
3/14/20,1140,21,18
3/15/20,1140,21,18
3/16/20,1543,55,20
3/17/20,1950,55,52
3/18/20,2626,71,65
3/19/20,2689,137,65
3/20/20,3983,177,65
3/21/20,5018,233,65
3/22/20,5683,281,65
3/23/20,5683.0,281.0,65.0
