Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,2,0,0
1/24/20,2,0,0
1/25/20,2,0,0
1/26/20,2,0,0
1/27/20,2,0,0
1/28/20,2,0,0
1/29/20,2,0,0
1/30/20,2,0,0
1/31/20,2,0,0
2/1/20,6,0,1
2/2/20,6,0,1
2/3/20,8,0,1
2/4/20,8,0,1
2/5/20,8,0,1
2/6/20,10,0,1
2/7/20,10,0,1
2/8/20,13,0,1
2/9/20,13,0,1
2/10/20,14,0,1
2/11/20,15,0,6
2/12/20,15,0,6
2/13/20,16,0,7
2/14/20,16,0,7
2/15/20,16,0,7
2/16/20,16,0,7
2/17/20,16,0,7
2/18/20,16,0,7
2/19/20,16,0,7
2/20/20,16,0,7
2/21/20,16,0,14
2/22/20,16,0,14
2/23/20,16,0,14
2/24/20,16,0,14
2/25/20,16,0,16
2/26/20,16,0,16
2/27/20,16,0,16
2/28/20,16,0,16
2/29/20,16,0,16
3/1/20,16,0,16
3/2/20,16,0,16
3/3/20,16,0,16
3/4/20,16,0,16
3/5/20,16,0,16
3/6/20,16,0,16
3/7/20,18,0,16
3/8/20,30,0,16
3/9/20,30,0,16
3/10/20,31,0,16
3/11/20,38,0,16
3/12/20,39,0,16
3/13/20,47,0,16
3/14/20,53,0,16
3/15/20,56,0,16
3/16/20,61,0,16
3/17/20,66,0,16
3/18/20,75,0,16
3/19/20,85,0,16
3/20/20,91,0,16
3/21/20,94,0,17
3/22/20,113,0,17
3/23/20,113.0,0.0,17.0
