Date,Confirmed,Deaths,Recovered
1/23/20,653,18,30
1/24/20,941,26,36
1/25/20,1434,42,39
1/26/20,2118,56,52
1/27/20,2927,82,61
1/28/20,5578,131,107
1/29/20,6166,133,126
1/30/20,8234,171,143
1/31/20,9927,213,222
2/1/20,12038,259,284
2/2/20,16787,362,472
2/3/20,19881,426,623
2/4/20,23892,492,852
2/5/20,27635,564,1124
2/6/20,30817,634,1487
2/7/20,34391,719,2011
2/8/20,37120,806,2616
2/9/20,40150,906,3244
2/10/20,42762,1013,3946
2/11/20,44802,1113,4683
2/12/20,45221,1118,5150
2/13/20,60368,1371,6295
2/14/20,66885,1523,8058
2/15/20,69030,1666,9395
2/16/20,71224,1770,10865
2/17/20,73258,1868,12583
2/18/20,75136,2007,14352
2/19/20,75639,2122,16121
2/20/20,76197,2247,18177
2/21/20,76823,2251,18890
2/22/20,78579,2458,22886
2/23/20,78965,2469,23394
2/24/20,79568,2629,25227
2/25/20,80413,2708,27905
2/26/20,81395,2770,30384
2/27/20,82754,2814,33277
2/28/20,84120,2872,36711
2/29/20,86011,2941,39782
3/1/20,88369,2996,42716
3/2/20,90306,3085,45602
3/3/20,92840,3160,48228
3/4/20,95120,3254,51170
3/5/20,97882,3348,53796
3/6/20,101784,3460,55865
3/7/20,105821,3558,58358
3/8/20,109795,3802,60694
3/9/20,113561,3988,62494
3/10/20,118592,4262,64404
3/11/20,125865,4615,67003
3/12/20,128343,4720,68324
3/13/20,145193,5404,70251
3/14/20,156094,5819,72624
3/15/20,167446,6440,76034
3/16/20,181527,7126,78088
3/17/20,197142,7905,80840
3/18/20,214910,8733,83207
3/19/20,242708,9867,84854
3/20/20,272166,11299,87256
3/21/20,304524,12973,91499
3/22/20,335955,14632,97704
3/23/20,336004.0,14643.0,98334.0
